level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
dread_infantry_3	dread_infantry	2	4	2000	0		false	false			true	dread_infantry	false	0.0000	0	true	3		true	0	0		0
dread_infantry_4	dread_infantry	3	5	3000	0		false	false			true	dread_infantry	false	0.0000	0	true	4		true	0	0		0
dread_cavalry_1	dread_cavalry	0	2	500	0		false	false			true	dread_cavalry	false	0.0000	0	true	1		true	0	0		0
dread_cavalry_2	dread_cavalry	1	3	1000	0		false	false			true	dread_cavalry	false	0.0000	0	true	2		true	0	0		0
dread_cavalry_3	dread_cavalry	2	4	2000	0		false	false			true	dread_cavalry	false	0.0000	0	true	3		true	0	0		0
dread_burial_mound	dread_burial_mound	0	2	2000	0		false	false			true	dread_burial_mound	false	0.0000	0	true	1		true	0	0		0
dread_burial_mound_2	dread_burial_mound	1	3	2500	0		false	false			true	dread_burial_mound	false	0.0000	0	true	3		true	0	0		0
dread_ghosts_1	dread_ghosts	0	4	2000	0		false	false			true	dread_ghosts	false	0.0000	0	true	2		true	0	0		0
dread_ghosts_2	dread_ghosts	1	5	5000	0		false	false			true	dread_ghosts	false	0.0000	0	true	3		true	0	0		0
dread_hydras_1	dread_hydras	1	5	6000	0		false	false			true	dread_hydras	false	0.0000	0	true	4		true	0	0		0
dread_elephants_1	dread_hydras	0	5	2500	0		false	false			true	dread_hydras	false	0.0000	0	true	3		true	0	0		0
dread_colossus_1	dread_colossus	0	7	8000	0		false	false			true	dread_colossus	false	0.0000	0	true	5		true	0	0		0
dread_mortis_1	dread_mortis	0	7	8000	0		false	false			true	dread_mortis	false	0.0000	0	true	5		true	0	0		0
dread_chariots_1	dread_chariots	0	2	500	0		false	false			true	wh2_dlc09_tmb_chariots	false	0.0000	0	true	1		true	0	0		0
dread_chariots_2	dread_chariots	1	3	1000	0		false	false			true	wh2_dlc09_tmb_chariots	false	0.0000	0	true	2		true	0	0		0
dread_chariots_3	dread_chariots	2	4	2000	0		false	false			true	wh2_dlc09_tmb_chariots	false	0.0000	0	true	3		true	0	0		0
dread_citadel_1	dread_citadel	0	5	6000	0		false	false			true	wh2_dlc09_tmb_citadel	false	0.0000	0	true	4		true	0	0		0
dread_estate_1	dread_estate	0	6	8000	0		false	false			true	wh2_dlc09_tmb_estate	false	0.0000	0	true	4		true	0	0		0
dread_growth_1	dread_growth	0	1	250	0		false	false			true	wh2_dlc09_tmb_growth	false	0.0000	0	true	1		true	0	0		0
dread_growth_2	dread_growth	1	2	500	0		false	false			true	wh2_dlc09_tmb_growth	false	0.0000	0	true	2		true	0	0		0
dread_growth_3	dread_growth	2	3	1000	0		false	false			true	wh2_dlc09_tmb_growth	false	0.0000	0	true	3		true	0	0		0
dread_income_1	dread_income	0	1	250	0		false	false			true	wh2_dlc09_tmb_income	false	0.0000	0	true	1		true	0	0		0
dread_income_2	dread_income	1	2	500	0		false	false			true	wh2_dlc09_tmb_income	false	0.0000	0	true	2		true	0	0		0
dread_income_3	dread_income	2	3	1000	0		false	false			true	wh2_dlc09_tmb_income	false	0.0000	0	true	3		true	0	0		0
dread_public_order_1	dread_public_order	0	1	750	0		false	false			true	wh2_dlc09_tmb_public_order	false	0.0000	0	true	1		true	0	0		0
dread_public_order_2	dread_public_order	1	2	1000	0		false	false			true	wh2_dlc09_tmb_public_order	false	0.0000	0	true	2		true	0	0		0
dread_public_order_3	dread_public_order	2	3	1500	0		false	false			true	wh2_dlc09_tmb_public_order	false	0.0000	0	true	3		true	0	0		0
dread_special_nagashizzar_dread_king	dread_special_nagashizzar_dread_king	0	10	10000	0		false	false			false	wh2_dlc14_special_nagashizzar	false	0.0000	0	true	5		true	0	0		0
dread_special_the_great_desert_dread_king_1	dread_special_the_great_desert_dread_king	0	2	2000	200		false	false			false	wh3_main_special_the_great_desert	false	0.0000	0	true	1		true	0	0		0
dread_special_the_great_desert_dread_king_2	dread_special_the_great_desert_dread_king	1	10	6000	0		false	false			false	wh3_main_special_the_great_desert	false	0.0000	0	true	3		true	0	0		0
dread_special_galbaraz_mourkain_tmb_1	dread_special_galbaraz_mourkain_tmb	0	4	6000	0		false	false			true	dread_special_galbaraz_mourkain_tmb	false	0.0000	0	true	3		true	0	0		0
