id	priority	unit	unit_group
190961	525	ovn_dk_inf_skeleton_javelinmen	wh2_dlc09_tmb_defence_minor_1
190962	525	ovn_dk_inf_mummies	wh2_dlc09_tmb_defence_minor_1
190963	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_minor_1
190964	525	ovn_dk_inf_skeleton_javelinmen	wh2_dlc09_tmb_defence_minor_2
190965	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_minor_2
190966	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_minor_2
190967	525	ovn_dk_inf_mummies	wh2_dlc09_tmb_defence_minor_2
190968	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_inf_nehekhara_warriors_0
190969	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_inf_tomb_guard_0
190970	850	ovn_dk_inf_tomb_guardian_peltasts	wh2_dlc09_tmb_inf_tomb_guard_1
190971	380	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_mon_carrion_0
190972	2000	ovn_dk_veh_mortis_engine_0	wh2_dlc09_tmb_mon_heirotitan_0
190973	2000	ovn_dk_mon_bone_hydra	wh2_dlc09_tmb_mon_necrosphinx_0
190974	1200	ovn_dk_inf_cairn_wraiths	wh2_dlc09_tmb_mon_sepulchral_stalkers_0
190975	1000	ovn_dk_mon_skeleton_elephant	wh2_dlc09_tmb_mon_tomb_scorpion_0
190976	900	ovn_dk_mon_skeletal_minotaurs	wh2_dlc09_tmb_mon_ushabti_0
190977	1100	ovn_dk_mon_skeletal_minotaurs	wh2_dlc09_tmb_mon_ushabti_1
190978	525	ovn_dk_inf_skeleton_javelinmen	wh2_dlc09_tmb_settlement_major_2
190979	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_settlement_major_2
190980	525	ovn_dk_inf_mummies	wh2_dlc09_tmb_settlement_major_2
190981	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_major_3
190982	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_major_3
190983	850	ovn_dk_inf_tomb_guardian_peltasts	wh2_dlc09_tmb_settlement_major_3
190984	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_major_3
190985	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_major_3
190986	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_settlement_major_3
190987	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_major_4
190988	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_settlement_major_4
190989	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_settlement_major_4
190990	850	ovn_dk_inf_tomb_guardian_peltasts	wh2_dlc09_tmb_settlement_major_4
190991	525	ovn_dk_inf_skeleton_pikemen	wh2_dlc09_tmb_settlement_major_4
190992	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_settlement_major_4
190993	850	ovn_dk_inf_tomb_guardian_peltasts	wh2_dlc09_tmb_settlement_major_4
190994	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_settlement_major_5
190995	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_settlement_major_5
190996	900	ovn_dk_mon_skeletal_minotaurs	wh2_dlc09_tmb_settlement_major_5
190997	850	ovn_dk_inf_tomb_guardian_peltasts	wh2_dlc09_tmb_settlement_major_5
190998	525	ovn_dk_inf_skeleton_pikemen	wh2_dlc09_tmb_settlement_major_5
190999	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_settlement_major_5
191000	525	ovn_dk_inf_skeleton_pikemen	wh2_dlc09_tmb_settlement_major_5
191001	850	ovn_dk_inf_tomb_guardian_peltasts	wh2_dlc09_tmb_settlement_major_5
191002	850	ovn_dk_inf_tomb_guardian_great_weapons	wh2_dlc09_tmb_settlement_major_5
191003	525	ovn_dk_inf_mummies	wh2_dlc09_tmb_settlement_minor_2
191004	525	ovn_dk_inf_skeleton_javelinmen	wh2_dlc09_tmb_settlement_minor_2
191005	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_minor_3
191006	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_settlement_minor_3
191007	900	ovn_dk_mon_skeletal_minotaurs	wh2_dlc09_tmb_settlement_special
191008	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_settlement_special
191009	700	ovn_dk_art_screaming_skull_ballista	wh2_dlc09_tmb_settlement_special
191010	750	ovn_dk_inf_tomb_guardian	wh2_dlc09_tmb_settlement_special
191011	1800	ovn_dk_mon_skeleton_elephant	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
191012	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
191013	800	ovn_dk_veh_skeleton_chariot	wh2_dlc09_tmb_veh_skeleton_chariot_0
191014	1600	ovn_dk_mon_skeleton_giant	wh2_pro06_tmb_mon_bone_giant_0
